marque,modele,carburant,annee_min,annee_max,km_reference,cote_reference_eur,decote_par_10k_km_pct,source
RENAULT,KANGOO,Gazole,2008,2015,180000,3500,4.5,amorce_a_calibrer
RENAULT,KANGOO,Gazole,2016,2021,130000,8500,3.5,amorce_a_calibrer
RENAULT,TRAFIC,Gazole,2015,2021,180000,11000,3.0,amorce_a_calibrer
RENAULT,MASTER,Gazole,2011,2018,180000,9500,3.5,amorce_a_calibrer
RENAULT,MASTER,Gazole,2019,2023,120000,17000,3.0,amorce_a_calibrer
RENAULT,CLIO,Gazole,2013,2019,140000,6000,4.0,amorce_a_calibrer
RENAULT,CLIO,Essence,2013,2019,120000,6000,4.0,amorce_a_calibrer
RENAULT,MEGANE,Gazole,2016,2021,150000,9000,3.5,amorce_a_calibrer
RENAULT,MEGANE,Essence,2015,2020,150000,7000,4.0,amorce_a_calibrer
RENAULT,SCENIC,Gazole,2017,2021,180000,9000,3.5,amorce_a_calibrer
RENAULT,TALISMAN,Essence,2016,2019,130000,8000,4.0,amorce_a_calibrer
RENAULT,TALISMAN,Gazole,2016,2019,140000,8500,3.5,amorce_a_calibrer
RENAULT,ESPACE,Gazole,2019,2022,110000,24000,3.0,amorce_a_calibrer
RENAULT,TWINGO,Essence,2008,2014,150000,2800,5.0,amorce_a_calibrer
RENAULT,CAPTUR,Essence,2014,2019,130000,7500,4.0,amorce_a_calibrer
PEUGEOT,PARTNER,Gazole,2008,2014,160000,3800,4.5,amorce_a_calibrer
PEUGEOT,PARTNER,Gazole,2015,2020,150000,7000,3.5,amorce_a_calibrer
PEUGEOT,208,Gazole,2013,2019,150000,6000,4.0,amorce_a_calibrer
PEUGEOT,208,Essence,2013,2019,130000,6000,4.0,amorce_a_calibrer
PEUGEOT,308,Gazole,2014,2020,160000,8500,3.5,amorce_a_calibrer
PEUGEOT,308,Essence,2015,2021,130000,9000,3.5,amorce_a_calibrer
PEUGEOT,3008,Gazole,2019,2022,110000,15000,3.0,amorce_a_calibrer
PEUGEOT,5008,Essence,2020,2022,140000,15000,3.0,amorce_a_calibrer
PEUGEOT,BOXER,Gazole,2007,2015,140000,5500,4.0,amorce_a_calibrer
PEUGEOT,EXPERT,Gazole,2017,2021,150000,13000,3.0,amorce_a_calibrer
PEUGEOT,RIFTER,Essence,2019,2022,110000,11500,3.5,amorce_a_calibrer
PEUGEOT,207,Gazole,2008,2013,160000,2500,5.0,amorce_a_calibrer
PEUGEOT,BIPPER,Gazole,2010,2016,120000,3500,4.5,amorce_a_calibrer
CITROEN,BERLINGO,Gazole,2008,2014,180000,3800,4.5,amorce_a_calibrer
CITROEN,BERLINGO,Gazole,2015,2020,150000,7000,3.5,amorce_a_calibrer
CITROEN,JUMPY,Gazole,2019,2022,200000,12000,3.0,amorce_a_calibrer
CITROEN,JUMPER,Gazole,2012,2019,180000,8000,3.5,amorce_a_calibrer
CITROEN,C3,Essence,2017,2021,110000,9000,3.5,amorce_a_calibrer
CITROEN,C4 PICASSO,Gazole,2011,2017,170000,5000,4.0,amorce_a_calibrer
CITROEN,NEMO,Gazole,2009,2016,150000,3200,4.5,amorce_a_calibrer
FORD,TRANSIT,Gazole,2019,2023,60000,20000,3.0,amorce_a_calibrer
FORD,TRANSIT,Gazole,2012,2018,180000,7500,4.0,amorce_a_calibrer
FORD,FOCUS,Gazole,2014,2019,150000,7000,4.0,amorce_a_calibrer
FORD,FIESTA,Gazole,2012,2018,120000,6000,4.0,amorce_a_calibrer
FORD,C-MAX,Gazole,2014,2018,160000,5500,4.0,amorce_a_calibrer
FORD,KA,Gazole,2009,2015,140000,2500,5.0,amorce_a_calibrer
SKODA,OCTAVIA,Essence,2018,2021,180000,9500,3.5,amorce_a_calibrer
SKODA,OCTAVIA,Gazole,2013,2018,180000,7000,4.0,amorce_a_calibrer
DACIA,DUSTER,Gazole,2015,2019,120000,9000,3.5,amorce_a_calibrer
DACIA,LOGAN,Gazole,2007,2013,200000,2500,5.0,amorce_a_calibrer
TOYOTA,YARIS,Essence - électricité (Hybride non rechargeable),2015,2018,90000,9500,3.5,amorce_a_calibrer
VOLKSWAGEN,GOLF,Essence,2016,2020,150000,10000,3.5,amorce_a_calibrer
VOLKSWAGEN,SHARAN,Essence,2019,2022,110000,23000,3.0,amorce_a_calibrer
SEAT,IBIZA,Essence,2015,2019,140000,6500,4.0,amorce_a_calibrer
SEAT,LEON,Gazole,2011,2016,160000,6000,4.0,amorce_a_calibrer
SEAT,ALHAMBRA,Gazole,2015,2019,190000,13000,3.0,amorce_a_calibrer
OPEL,CORSA,Essence,2015,2019,130000,6000,4.0,amorce_a_calibrer
OPEL,INSIGNIA,Gazole,2013,2017,160000,5500,4.0,amorce_a_calibrer
OPEL,VIVARO,Gazole,2020,2023,80000,19000,3.0,amorce_a_calibrer
MERCEDES-BENZ,SPRINTER,Gazole,2015,2021,180000,16000,3.0,amorce_a_calibrer
LAND ROVER,DEFENDER,Gazole,1998,2016,200000,17000,1.5,amorce_a_calibrer
